Date,Open,High,Low,Close,Adj Close,Volume
10/19/2020,537.070007,541.799988,525.380005,530.719971,530.719971,7567500
10/20/2020,528.140015,533.780029,522.26001,525.419983,525.419983,10047200
10/21/2020,501.029999,506.850006,488.25,489.049988,489.049988,17405700
10/22/2020,494.690002,495.140015,482,485.230011,485.230011,6997900
10/23/2020,488.109985,490.059998,481.350006,488.279999,488.279999,4927900
10/26/2020,487.029999,496.820007,478.899994,488.23999,488.23999,6186100
10/27/2020,490.01001,490.48999,482.929993,488.929993,488.929993,3627200
10/28/2020,486.359985,494,483.279999,486.23999,486.23999,5992700
10/29/2020,488.5,513.900024,479.339996,504.209991,504.209991,11120700
10/30/2020,502.01001,505.880005,472.209991,475.73999,475.73999,7807900
11/2/2020,478.869995,486.299988,475,484.119995,484.119995,4408200
11/3/2020,484.929993,495.309998,478.76001,487.220001,487.220001,3690200
11/4/2020,495.359985,507.730011,493.980011,496.950012,496.950012,5137300
11/5/2020,506.559998,518.72998,503.450012,513.76001,513.76001,5372800
11/6/2020,515,515.210022,502.51001,514.72998,514.72998,4236300
11/9/2020,485.540009,495.850006,467.26001,470.5,470.5,10419700
11/10/2020,470.950012,484.600006,463.410004,480.23999,480.23999,8306100
11/11/2020,483,491.679993,478.26001,490.76001,490.76001,5460500
11/12/2020,491,496.519989,480.429993,486.769989,486.769989,5063700
11/13/2020,486.769989,488.940002,477.799988,482.839996,482.839996,3002700
11/16/2020,480,485.579987,477.299988,479.100006,479.100006,3953600
11/17/2020,480.119995,487.51001,478.850006,480.630005,480.630005,3698100
11/18/2020,481.950012,488.609985,477.720001,481.790009,481.790009,3629200
11/19/2020,482,487.799988,480.470001,484.670013,484.670013,2254700
11/20/2020,485.220001,494.76001,481.570007,488.23999,488.23999,4253400
11/23/2020,490.459991,491.149994,475.839996,476.619995,476.619995,5416600
11/24/2020,478.839996,484.049988,475.890015,482.880005,482.880005,3550500
11/25/2020,485.130005,486.899994,478.920013,485,485,3598600
11/27/2020,486.579987,493.25,481.850006,491.359985,491.359985,2805800
11/30/2020,490.079987,492.549988,481.269989,490.700012,490.700012,3530900
12/1/2020,492.339996,509.470001,491.980011,504.579987,504.579987,5052700
12/2/2020,501.619995,506.799988,493.5,503.380005,503.380005,3028400
12/3/2020,502.98999,508.769989,496.040009,497.519989,497.519989,2826100
12/4/2020,497.5,504.5,493.640015,498.309998,498.309998,3666200
12/7/2020,500.01001,517.76001,497.769989,515.780029,515.780029,4289300
12/8/2020,517.900024,521.48999,505.549988,512.659973,512.659973,4229000
12/9/2020,510.529999,514.5,491.290009,493.600006,493.600006,4178800
12/10/2020,494.559998,503.769989,492.910004,501.089996,501.089996,3018200
12/11/2020,495,503.339996,494.850006,503.220001,503.220001,3210900
12/14/2020,505.440002,524.159973,501.179993,522.419983,522.419983,5770400
12/15/2020,518.5,524.700012,513.559998,519.780029,519.780029,3394900
12/16/2020,520.109985,527.380005,517.690002,524.830017,524.830017,3682400
12/17/2020,529,535.48999,526.440002,532.900024,532.900024,3193400
12/18/2020,533.200012,536.369995,526.02002,534.450012,534.450012,4502700
12/21/2020,530.049988,532.619995,521.150024,528.909973,528.909973,3894000
12/22/2020,527.690002,530.400024,520.5,527.330017,527.330017,1906600
12/23/2020,524.76001,526.320007,514.200012,514.47998,514.47998,2393200
12/24/2020,515.119995,519.349976,512.210022,513.969971,513.969971,1144000
12/28/2020,516.429993,523.659973,507.130005,519.119995,519.119995,2891900
12/29/2020,519.900024,536.549988,515.47998,530.869995,530.869995,4022400
12/30/2020,530.130005,533.26001,523.690002,524.590027,524.590027,1876300
12/31/2020,525.530029,545.5,523.150024,540.72998,540.72998,5392300
1/4/2021,539,540.799988,515.090027,522.859985,522.859985,4444400
